"","SA2_2016","Index1_point","Index1_lower","Index1_upper","Index1_Prob_PercentileAbove80","Index1_Prob_PercentileAbove95","Index1_Prob_PercentileAbove99","Index2_point","Index2_lower","Index2_upper","Index2_Prob_PercentileAbove80","Index2_Prob_PercentileAbove95","Index2_Prob_PercentileAbove99","Index3_point","Index3_lower","Index3_upper","Index3_Prob_PercentileAbove80","Index3_Prob_PercentileAbove95","Index3_Prob_PercentileAbove99","Index4_point","Index4_lower","Index4_upper","Index4_Prob_PercentileAbove80","Index4_Prob_PercentileAbove95","Index4_Prob_PercentileAbove99","Scores1_point","Scores1_lower","Scores1_upper","Scores2_point","Scores2_lower","Scores2_upper","Scores3_point","Scores3_lower","Scores3_upper","Scores4_point","Scores4_lower","Scores4_upper"
"1886",211011258,15,8,23,0,0,0,29,13,45,0,0,0,19,7,33,0,0,0,21,13,30,0,0,0,-0.983360352477031,-1.5150067769866,-0.434627117019001,-0.741478379279699,-1.43878009362744,-0.0909322916928644,-0.847256524928858,-1.33337058045614,-0.386524655306868,-7566.84802413963,-11908.3326540538,-3452.05169654564
"1887",211011447,49,25,73,0.00725,0,0,51,31,70,0.001375,0,0,52.5,33,69,0.002375,0,0,57,27,87,0.1075,0.001,0,0.133011277838839,-0.384792557057418,0.678313282263554,0.0681127718955511,-0.626009486631785,0.775526914115457,0.0960591871721033,-0.411349642458057,0.545312523722119,1143.39250490955,-4896.29479417825,6490.85496986439
"1888",211051274,49,26,71,0.004875,0,0,48,30,66,0,0,0,50,32,66,0.000125,0,0,52,29,74,0.01075,0,0,0.130011955663466,-0.375702880144151,0.609678779143207,-0.0410349058961675,-0.658201841859319,0.652027484816726,0.0379861473309775,-0.441819924554741,0.465719065899492,317.184330213662,-3689.19637003209,3888.75420026076
"1889",211051276,58,32,81,0.0405,0.000125,0,59,40,77,0.01075,0.000125,0,62,43,78,0.0175,0.000125,0,75,41,94,0.3585,0.005875,0,0.314711092029512,-0.252833541900879,0.80566948807546,0.335271935036533,-0.309960643371239,0.994239999105981,0.329455477658064,-0.107628394296495,0.810635040084845,3837.00322054464,-1253.49409417413,9441.06099434815
"1890",212011290,40,19,62,0.001,0,0,75,56,90,0.265375,0.00175,0,67,48,82,0.061,0,0,70,52,85,0.0985,0,0,-0.0716456828620655,-0.591326022219773,0.461625455901678,0.909608696164522,0.222228651580979,1.51633320103422,0.470472542321769,0.0355579584259375,0.921760482982902,2972.91599493126,224.690739293499,5824.60449196896
"1891",212021297,8,4,12,0,0,0,56,36,73,0.00575,0,0,27,12,42,0,0,0,25,15,37,0,0,0,-1.65533018877073,-2.20012080502133,-1.09197920171656,0.241621162486067,-0.38986727278504,0.90338080632964,-0.599695695271056,-1.04121614822904,-0.118111313625866,-5565.47589996304,-9663.00646363957,-1096.13204610485
"1892",212021299,26,14,42,0,0,0,47,31,65,0.000125,0,0,40,24,55,0,0,0,38,27,56,0,0,0,-0.433024998645544,-0.924059939615478,0.0680605072173433,-0.0819407612937992,-0.697699992530296,0.545514582490292,-0.239823815887359,-0.658373788954913,0.197113089171905,-1626.24529553218,-4464.43266290327,1336.62385767469
"1893",212021453,15,8,23,0,0,0,51,30,67,0.00125,0,0,34,17,49,0,0,0,29,16,47,0,0,0,-0.975441921067575,-1.48491763186554,-0.423004327759299,0.0623391636335209,-0.59397209221177,0.70350361599641,-0.400937223488215,-0.861205520266131,0.0601170354828045,-4121.43418884711,-8852.76214557569,617.973066245489
"1894",212031303,42,20,66,0.00225,0,0,69,50,87,0.107625,0.000875,0,63,45,81,0.03325,0.00025,0,70,43,88,0.176,0.00025,0,-0.00847470727344527,-0.572793289681264,0.522785433242641,0.674252900556624,-0.0208623822445244,1.34162086377006,0.372771797151068,-0.117990393554937,0.835652982679386,2974.34616946837,-941.445350174843,6667.67514879882
"1895",212031457,9,5,14,0,0,0,52,29,71,0.004375,0,0,26,10,43,0,0,0,23,12,37,0.000125,0,0,-1.53090372876919,-2.11380225363388,-0.92492699396225,0.0930681946545808,-0.665032146075051,0.825134644493201,-0.633294355196602,-1.13486229606271,-0.0873962103936727,-6681.25544732415,-11972.7972234616,-922.030019653247
"1896",212041459,4,2,7,0,0,0,48,28,67,0.00225,0,0,15,3,27,0,0,0,15,8,23,0,0,0,-2.28039252519161,-2.91770714292036,-1.64594283834191,-0.0234650099292518,-0.756929746047669,0.661502075468225,-1.02324272716423,-1.52966953783082,-0.510504223902168,-11440.3653110597,-17102.4702677175,-5707.69247533819
"1897",213011331,3,2,5,0,0,0,48,30,66,0.000875,0,0,11,4,22,0,0,0,19,13,25,0,0,0,-2.58643230597186,-3.12050538144731,-2.06248410767221,-0.0321140585167183,-0.70423371818543,0.617491352446838,-1.16265624169827,-1.61298411170404,-0.678205230582268,-8450.185564663,-11723.168523865,-4929.19561587192
"1898",213041359,8,3,13,0,0,0,52,30,73,0.006,0,0,24,8,41,0,0,0,31,23,41,0,0,0,-1.6797990872354,-2.39851413430581,-0.969710936275017,0.108311460464914,-0.676790229870901,0.871346326224746,-0.684969872723004,-1.25653438485193,-0.166006362691057,-3403.95778249697,-6244.34762552167,-824.968619393206
"1899",213051363,6,3,9,0,0,0,34,20,51,0,0,0,11,3,21,0,0,0,17,11,23,0,0,0,-1.92977789070614,-2.44238587188458,-1.40233262541773,-0.542698483344167,-1.16973398738737,0.0824309224951159,-1.159591167978,-1.60570771377768,-0.716363780900834,-9800.2847561661,-13570.6387429921,-6054.3484942834
